alpha,penalty,loss,l1_ratio,warm_start,accuracy,precision,recall,f1,true-negative,false-negative,false-positive,true-positive
0.0001,l2,squared_loss,0.75,False,0.7157894736842105,0.9230769230769231,0.18461538461538463,0.3076923076923077,124,53,1,12
0.0001,l2,squared_loss,0.75,True,0.42105263157894735,0.36363636363636365,0.9230769230769231,0.5217391304347827,20,5,105,60
0.0001,l2,huber,0.15,False,0.7368421052631579,0.8,0.3076923076923077,0.4444444444444444,120,45,5,20
0.0001,l2,huber,0.15,True,0.7421052631578947,0.5952380952380952,0.7692307692307693,0.6711409395973155,91,15,34,50
0.0001,l2,huber,0.3,False,0.7578947368421053,0.7714285714285715,0.4153846153846154,0.54,117,38,8,27
0.0001,l2,huber,0.3,True,0.7526315789473684,0.7368421052631579,0.4307692307692308,0.5436893203883496,115,37,10,28
0.0001,l2,huber,0.45,False,0.7684210526315789,0.8181818181818182,0.4153846153846154,0.5510204081632654,119,38,6,27
0.0001,l2,huber,0.45,True,0.7421052631578947,0.7857142857142857,0.3384615384615385,0.4731182795698925,119,43,6,22
0.0001,l2,huber,0.6,False,0.7526315789473684,0.65,0.6,0.624,104,26,21,39
0.0001,l2,huber,0.6,True,0.7578947368421053,0.8064516129032258,0.38461538461538464,0.5208333333333334,119,40,6,25
0.0001,l2,huber,0.75,False,0.7631578947368421,0.7380952380952381,0.47692307692307695,0.5794392523364486,114,34,11,31
0.0001,l2,huber,0.75,True,0.7315789473684211,0.7916666666666666,0.2923076923076923,0.4269662921348315,120,46,5,19
0.0001,l2,epsilon_insensitive,0.15,False,0.7578947368421053,0.6376811594202898,0.676923076923077,0.6567164179104477,100,21,25,44
0.0001,l2,epsilon_insensitive,0.15,True,0.531578947368421,0.4189189189189189,0.9538461538461539,0.5821596244131455,39,3,86,62
0.0001,l2,epsilon_insensitive,0.3,False,0.6894736842105263,0.5416666666666666,0.6,0.5693430656934306,92,26,33,39
0.0001,l2,epsilon_insensitive,0.3,True,0.7526315789473684,0.8214285714285714,0.35384615384615387,0.4946236559139785,120,42,5,23
0.0001,l2,epsilon_insensitive,0.45,False,0.7157894736842105,0.7037037037037037,0.2923076923076923,0.41304347826086957,117,46,8,19
0.0001,l2,epsilon_insensitive,0.45,True,0.6894736842105263,0.875,0.1076923076923077,0.1917808219178082,124,58,1,7
0.0001,l2,epsilon_insensitive,0.6,False,0.7684210526315789,0.6909090909090909,0.5846153846153846,0.6333333333333333,108,27,17,38
0.0001,l2,epsilon_insensitive,0.6,True,0.6210526315789474,0.47244094488188976,0.9230769230769231,0.625,58,5,67,60
0.0001,l2,epsilon_insensitive,0.75,False,0.7263157894736842,0.7096774193548387,0.3384615384615385,0.4583333333333334,116,43,9,22
0.0001,l2,epsilon_insensitive,0.75,True,0.6526315789473685,0.0,0.0,0.0,124,65,1,0
0.0001,l2,squared_epsilon_insensitive,0.15,False,0.3368421052631579,0.3333333333333333,0.9384615384615385,0.49193548387096775,3,4,122,61
0.0001,l2,squared_epsilon_insensitive,0.15,True,0.34210526315789475,0.34210526315789475,1.0,0.5098039215686275,0,0,125,65
0.0001,l2,squared_epsilon_insensitive,0.3,False,0.6578947368421053,0.0,0.0,0.0,125,65,0,0
0.0001,l2,squared_epsilon_insensitive,0.3,True,0.34210526315789475,0.34210526315789475,1.0,0.5098039215686275,0,0,125,65
0.0001,l2,squared_epsilon_insensitive,0.45,False,0.6578947368421053,0.0,0.0,0.0,125,65,0,0
0.0001,l2,squared_epsilon_insensitive,0.45,True,0.34210526315789475,0.34210526315789475,1.0,0.5098039215686275,0,0,125,65
0.0001,l2,squared_epsilon_insensitive,0.6,False,0.5631578947368421,0.15384615384615385,0.06153846153846154,0.08791208791208792,103,61,22,4
0.0001,l2,squared_epsilon_insensitive,0.6,True,0.38421052631578945,0.3522727272727273,0.9538461538461539,0.5145228215767635,11,3,114,62
0.0001,l2,squared_epsilon_insensitive,0.75,False,0.3473684210526316,0.3422459893048128,0.9846153846153847,0.5079365079365079,2,1,123,64
0.0001,l2,squared_epsilon_insensitive,0.75,True,0.39473684210526316,0.2727272727272727,0.46153846153846156,0.3428571428571428,45,35,80,30
0.0001,l1,hinge,0.15,False,0.7631578947368421,0.6851851851851852,0.5692307692307692,0.6218487394957983,108,28,17,37
0.0001,l1,hinge,0.15,True,0.7526315789473684,0.7647058823529411,0.4,0.5252525252525253,117,39,8,26
0.0001,l1,hinge,0.3,False,0.7315789473684211,0.5853658536585366,0.7384615384615385,0.6530612244897959,91,17,34,48
0.0001,l1,hinge,0.3,True,0.7210526315789474,0.7727272727272727,0.26153846153846155,0.39080459770114945,120,48,5,17
0.0001,l1,hinge,0.45,False,0.7157894736842105,0.5632183908045977,0.7538461538461538,0.6447368421052632,87,16,38,49
0.0001,l1,hinge,0.45,True,0.7526315789473684,0.6285714285714286,0.676923076923077,0.6518518518518519,99,21,26,44
0.0001,l1,hinge,0.6,False,0.7368421052631579,0.6923076923076923,0.4153846153846154,0.5192307692307692,113,38,12,27
0.0001,l1,hinge,0.6,True,0.7473684210526316,0.6888888888888889,0.47692307692307695,0.5636363636363636,111,34,14,31
